Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16,246.979248046875,214.47000122070312,251.1188507080078,710.881103515625,509.4913330078125,181.7900390625,428.75,248.56621957555782,218.58999633789062,256.6113736152233,724.2786798244232,514.7096236704256,183.2598789113643,439.3500061035156,244.66366953460536,212.80999755859375,249.76069521164578,702.7047754671785,506.02576365101777,179.75026972003684,421.30999755859375,247.7777291727393,215.6699981689453,251.42842769264908,716.3519343648386,510.4573477017149,182.20999112544493,434.7300109863281,39777000,42414600,27997200,9017000,15559600,179723300,77189900
2025-10-17,251.81002807617188,213.0399932861328,252.95635986328125,715.7229614257812,511.4532470703125,183.19989013671875,439.30999755859375,252.89796599708643,214.8000030517578,253.87510990312921,717.3402516818879,513.3453425707617,184.07979842608083,441.4599914550781,246.79958926324147,211.02999877929688,247.4738024671156,704.9410060739878,505.2091921192977,179.7302697995737,423.6000061035156,247.5481624372989,214.55999755859375,250.41979725844868,705.8994251244851,506.93203901166436,180.1602152773484,425.5,49147000,45986900,29671600,12232400,19867800,173135200,89331600
2025-10-20,261.7411193847656,216.47999572753906,256.2019348144531,730.947509765625,514.6498413085938,182.6199493408203,447.42999267578125,263.87706298772724,216.69000244140625,256.98087539491434,732.5448748734839,516.5519656323323,185.1796658652692,449.79998779296875,255.14370850365398,213.58999633789062,253.88509020638818,718.9775387090459,511.30377036778043,181.7100455780644,440.6099853515625,255.4032084113237,213.8800048828125,254.3444728441902,719.9858621042338,512.4788764440519,183.10990104163824,443.8699951171875,90483000,38882800,22350200,8900200,14665600,128544700,63719000
2025-10-21,262.2701110839844,222.02999877929688,250.12020874023438,732.0457153320312,515.5162963867188,181.14010620117188,442.6000061035156,264.7853366806196,223.32000732421875,254.53421031738455,737.2669635645257,516.5420602391357,182.76991679751694,449.29998779296875,261.33189684706855,217.99000549316406,243.81875668908756,727.5332426508437,510.91543308707116,179.7802549646251,442.04998779296875,261.38182000576944,218.42999267578125,254.39440086428343,734.7911237948646,515.3569857054445,182.76991679751694,445.760009765625,46695900,50494600,47312100,7647300,15586200,124240200,54412200
2025-10-22,257.9583435058594,217.9499969482422,251.34854125976562,732.1854248046875,518.3843994140625,180.2602081298828,438.9700012207031,262.349966966352,220.00999450683594,256.01218852739623,739.3634223567747,523.0549803520576,183.4198648953589,445.5400085449219,254.94406918261987,216.52000427246094,248.95178813355238,722.8211423130082,515.5661623300699,176.74059027394597,429.0,262.15033525743416,219.3000030517578,254.02489806023604,732.6047674176828,518.9919195722497,181.12011433169937,443.45001220703125,45015300,44308500,35029400,8734500,18962700,162249600,84023500
2025-10-23,259.0861511230469,221.08999633789062,252.7366485595703,732.7744750976562,518.404296875,182.13999938964844,448.9800109863281,260.12418111371363,221.3000030517578,254.69398089708358,741.170406509876,521.7802730707533,183.0098989665471,449.3999938964844,257.51916110368444,218.17999267578125,251.50832156545113,731.8759534115667,516.4623598997719,179.7702492811968,413.8999938964844,259.4454820834593,219.0,252.6367781341903,733.4733185275871,520.2964530626382,180.4001849787377,420.0,32754900,31540000,19901400,9856000,14023500,111363700,126709800
2025-10-24,262.32000732421875,224.2100067138672,259.5674133300781,737.127197265625,521.441650390625,186.23953247070312,433.7200012207031,263.6275126875418,225.39999389648438,261.32500504033385,739.9724753796752,523.1744351060786,187.44940625639555,451.67999267578125,258.68691759501684,221.89999389648438,254.97364746401067,729.9292742962166,518.5536961256696,183.47984116964938,430.1700134277344,260.69310343226954,221.97000122070312,256.23191746004557,735.5598112729552,520.6250388201142,183.81980015643103,446.8299865722656,38253700,38685100,28655100,9151300,15532400,131296700,94727800
2025-10-27,268.2986145019531,226.97000122070312,268.9046630859375,749.5663452148438,529.3189697265625,191.46897888183594,452.4200134277344,268.60802232244004,228.39999389648438,269.7735083332291,754.4881061640369,532.3662956890146,191.97891738858848,460.1600036621094,264.1465248140549,225.5399932861328,263.92144290721717,746.7610395763271,526.819354031342,188.4093020699799,438.69000244140625,264.37609822840903,227.66000366210938,264.4607188078389,748.4781384032651,529.577902779321,189.9691435897376,439.9800109863281,44888200,38267000,35235200,11321100,18734700,153452700,105867500
2025-10-28,268.4882507324219,229.25,267.1071472167969,750.1853637695312,539.8252563476562,201.0079345703125,460.54998779296875,269.3765722048576,231.49000549316406,270.3627344019799,757.1337649704751,551.4269763883988,203.12769700573313,467.0,267.63986169210665,226.2100067138672,266.1384619149823,744.2752651341964,538.5306518978505,191.8889404255143,451.6000061035156,268.4782600095115,228.22000122070312,269.3241367489819,751.3733793283152,547.7224103521172,193.0288146936141,454.7799987792969,41534800,47100000,29738600,12193800,29986700,297986200,80185700
2025-10-29,269.1869201660156,230.3000030517578,274.197509765625,750.4149169921875,539.307373046875,207.01727294921875,461.510009765625,270.8936584399069,232.82000732421875,274.96645416764926,757.8924011644837,544.0078586434945,212.1667169482571,465.70001220703125,266.6018207191691,227.75999450683594,267.3068768000952,741.2702382858599,534.507325873603,204.7575264516481,452.6499938964844,268.76770579477784,231.6699981689453,267.38675485794886,753.4897913670577,542.6833492925585,207.95717223581016,462.5,51086700,52036200,43580300,26818600,36023000,308829600,67983500
2025-10-30,270.8836669921875,222.86000061035156,281.09814453125,665.3572387695312,523.582763671875,202.8677215576172,440.1000061035156,273.6184749716116,228.44000244140625,291.1944142933695,679.8230975870755,532.7545848667123,206.13736677538768,455.05999755859375,267.969239224885,222.75,279.6800575475708,649.08446528138,519.9578228356851,201.38788833732997,439.6099853515625,271.4725408872279,227.05999755859375,291.1944142933695,668.0328178882455,528.2831883129468,205.12746791137428,451.04998779296875,69886500,102252900,74876000,88440100,41023100,178864400,72447900
2025-10-31,269.85565185546875,244.22000122070312,280.80853271484375,647.2674560546875,515.6656494140625,202.4677734375,456.55999755859375,276.79244258078194,250.5,285.6120049046921,673.7631824593219,527.1279940743384,207.94716749796044,458.0,268.647962249571,243.97999572753906,276.6541726227251,644.4921293755289,512.9668501497666,202.04782138155986,443.69000244140625,276.4630533049319,250.10000610351562,282.8257813584811,673.383812052831,526.6898137654194,206.42733011185774,446.75,86167100,166340800,39267900,56953200,34006400,179802200,83135800
2025-11-03,268.53814697265625,254.0,283.3350830078125,636.645263671875,514.888916015625,206.85728454589844,468.3699951171875,270.33474092754267,258.6000061035156,285.14262497278366,658.2291607688485,522.7860691817526,211.31678618801203,474.07000732421875,265.74348587775046,252.89999389648438,279.42038779718166,635.1177890022415,512.4590180581705,205.53742218982754,453.79998779296875,269.90556627002525,255.36000061035156,281.797163766903,654.90470367213,517.657371934483,208.05714970598171,455.989990234375,50194600,95997800,29786000,33003600,22374700,180267300,84595200
2025-11-04,269.5262756347656,249.32000732421875,277.1634826660156,626.2725830078125,512.2001342773438,198.66818237304688,444.260009765625,270.9734988318123,257.010009765625,280.88840284028174,640.6684891460408,513.4150529816625,203.9476013046771,460.2200012207031,267.11086611942017,248.66000366210938,275.88522040271835,624.9647727272926,505.73698923396887,197.90825607143535,443.6000061035156,267.8195068636227,250.3800048828125,276.3745458896769,626.9913515895119,509.6407695643784,202.9777066091775,454.4599914550781,49274800,51546300,30078400,27356600,20958700,188919300,87756600
2025-11-05,269.6260986328125,250.1999969482422,283.9242858886719,634.88818359375,505.0597839355469,195.18858337402344,462.07000732421875,271.18312844251227,251.0,286.03143918614273,641.1576663615418,512.6980347767452,202.89772869539195,466.3299865722656,266.4221834255846,246.16000366210938,276.96374058170124,625.4938610947797,504.4821687767013,194.6286320152979,440.7099914550781,268.0989800730272,249.02999877929688,278.4916636746374,631.2542465797685,511.17434154282535,198.7481902403631,452.04998779296875,43683100,40610700,31010300,20219900,23024300,171350300,85573000
2025-11-06,269.25677490234375,243.0399932861328,284.36370849609375,617.9065551757812,495.04144287109375,188.05935668945312,445.9100036621094,272.8798740142925,250.3800048828125,287.9588308357049,634.938067569805,503.6058351018555,197.59830279082226,467.45001220703125,267.38037702601645,242.1699981689453,280.7586204462715,616.9681222612256,493.75677643867937,186.35954634625867,435.0899963378906,267.38037702601645,249.16000366210938,284.9429082592804,634.7882936522686,503.5659922381216,196.39843756369172,461.9599914550781,51204000,46004200,37173600,23628800,27406500,223029800,109622900
2025-11-07,267.9592590332031,244.41000366210938,278.4516906738281,620.6719360351562,494.7626037597656,188.1293487548828,429.5199890136719,271.7719991063764,244.89999389648438,283.39498707048995,621.0912176885568,497.31199999791255,188.29934352754728,439.3599853515625,266.26248096015127,238.49000549316406,274.816645004158,600.1961723842201,491.2073803526309,178.8903723972709,421.8800048828125,269.28671541495146,242.89999389648438,282.82575309004056,615.4606203242017,494.89207027354036,184.87970536775757,437.9200134277344,48227400,46374300,34479600,29946800,24019800,264942300,103471500
2025-11-10,269.1781311035156,248.39999389648438,289.7064208984375,630.7052001953125,503.9045715332031,199.0281524658203,445.2300109863281,273.4741297822401,251.75,290.40545290698407,633.9397808237388,504.7510576229119,199.91805415635875,449.6700134277344,267.20997142836535,245.58999633789062,282.47622284552773,617.077966360211,496.73437575016374,193.76872011438098,433.3599853515625,268.7085692371889,248.33999633789062,284.03413439651047,630.0363359130761,497.9692613740871,195.08858253564551,439.6000061035156,41312400,36476500,29557300,19245000,26101500,198897100,76515900
2025-11-11,274.99267578125,249.10000610351562,290.9147644042969,626.0330200195312,506.573486328125,193.1387939453125,439.6199951171875,275.65206242273547,249.75,291.5239526379353,628.5088598168925,507.48968986721945,195.3985402959953,442.489990234375,269.5477586519058,247.22999572753906,286.9301875660949,618.3558571038752,500.26971300797675,191.2789975702345,432.3599853515625,269.55775905965567,248.41000366210938,287.3595968518003,626.9514668906089,502.70954902224156,195.13857433756354,439.3999938964844,46208300,23564100,19842100,13302200,17980000,176483300,60533200
